,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist
12,9,2,8,4,2,3,810,1,0,0,0,144721,0,132421,12300,0,15214,0,14772,442,1277,1,12845,18599,2680,31,6,18750,4241,13527,981,13435,12225,2,0,196,14,15,3,10,4,0,0,1,0,0,1
13,9,6,6,3,1,2,353,0,0,0,0,214934,165865,23257,25811,0,31299,24053,2591,4653,14364,1,22747,10704,1188,25,86,40277,10791,27289,2197,15252,13925,1,0,236,30,18,3,9,2,0,0,1,0,0,0
14,10,6,5,5,1,2,1046,0,0,0,0,226647,108,212394,14144,681,33640,108,29239,4292,4589,1,40672,11853,2302,39,8,52179,27631,18878,5670,17124,16025,1,0,279,9,18,1,13,8,0,0,0,0,0,0
15,13,10,13,4,2,4,394,1,0,0,0,288422,69578,206044,12800,642,43163,18064,24209,889,7516,2,20838,18956,817,23,4,30963,9778,19481,1703,19072,16900,0,0,299,17,18,0,9,4,0,0,0,0,0,0
16,6,8,18,0,1,0,638,0,0,0,0,382662,13774,347709,21177,995,29861,5293,21094,3473,11311,1,26672,11212,5379,50,10,40489,19248,18825,2415,19805,17833,2,1,333,20,18,2,17,2,0,0,0,0,0,0
0,2,11,2,0,1,0,195,0,0,0,0,42398,8320,31730,2348,0,8736,2201,5726,808,303,1,7424,0,0,9,17,17911,5278,10812,1820,5523,5233,0,0,81,4,10,0,4,2,0,0,0,0,0,0
1,7,7,2,3,1,2,455,0,0,0,0,84636,4625,76156,3854,0,12023,1072,10019,932,5722,1,6441,2447,0,18,6,17856,6969,10160,725,8511,8075,0,0,30,76,11,0,8,1,0,0,0,0,0,0
2,7,15,16,4,1,2,342,0,0,0,0,80193,73963,4515,1714,0,33642,30405,1701,1535,1339,1,6854,1431,586,72,24,37817,29174,7559,1083,13444,12935,0,0,46,7,16,2,36,3,0,0,0,0,0,0
3,3,10,8,0,1,0,263,0,0,0,0,142997,94677,45896,2422,0,24939,17305,7576,57,801,1,44385,5899,1802,20,24,40204,10767,28346,1090,11493,11250,1,0,205,0,15,0,9,3,0,0,1,0,0,0
4,9,7,2,5,1,2,948,0,0,0,0,90603,13140,72293,5170,0,16953,2866,10607,3478,2105,1,59150,3392,3100,22,33,41785,10559,27720,3506,12662,11960,1,0,155,11,15,0,8,4,0,0,1,0,0,0
5,6,5,6,4,1,1,648,0,0,0,0,138035,5857,126820,5356,0,17528,68,16359,1100,15383,1,16627,8565,1321,19,24,30886,4576,24670,1640,10794,9875,1,0,39,101,16,0,9,2,0,0,0,0,0,1
6,5,10,9,3,1,2,401,0,0,0,0,189500,103870,80549,5081,0,34832,21790,12352,689,1926,1,55953,5401,680,18,21,50743,9812,36380,4550,12938,13183,0,0,259,0,16,0,7,5,0,0,0,0,0,0
7,6,14,8,2,1,1,407,0,0,0,0,200581,100663,99695,222,0,26058,14819,11178,60,62,1,66387,8678,4615,27,27,52854,18215,34400,238,15290,16150,2,0,232,12,18,0,12,2,0,0,0,0,0,0
8,0,13,6,0,0,0,337,0,0,0,0,128879,199,125810,2870,0,12532,125,12406,0,2604,1,23351,62,62,13,6,31158,13882,14115,3160,8981,8600,0,0,176,0,15,0,7,1,0,0,0,0,0,0
9,0,6,3,0,0,0,252,0,0,0,0,10841,8711,1741,387,0,5288,4300,600,387,543,1,4149,0,0,11,33,10095,2731,7141,222,3615,3085,0,0,9,0,8,0,7,0,0,0,0,0,0,0
10,7,7,12,3,2,2,802,1,0,0,0,123137,110424,10564,2149,0,18327,17963,337,26,8457,1,9856,3956,2624,22,88,28511,20525,7215,770,12762,12175,0,1,160,14,15,1,5,6,0,0,0,1,1,0
11,6,8,13,2,2,2,694,1,0,0,0,141349,63445,70018,7885,0,16487,10649,5838,0,976,1,35325,16107,7058,23,13,30225,5604,22254,2365,12496,11883,4,0,197,4,16,0,8,3,1,0,0,0,0,1
12,2,8,20,0,1,0,412,0,0,0,0,41479,23674,7909,9895,0,9135,5865,1581,1689,9055,5,31709,5575,2396,45,46,26344,12845,9996,3503,9410,8620,3,1,49,4,15,0,23,3,0,0,1,0,0,0
13,5,5,5,3,1,1,490,0,0,0,0,67716,7662,55445,4607,0,10581,2002,7357,1221,908,1,16163,7688,1938,13,27,20037,2022,15781,2233,9572,8350,0,1,121,4,13,0,6,2,0,0,0,0,0,1
14,1,4,3,0,1,0,443,0,0,0,0,60594,3275,50604,6713,0,3187,0,2569,617,7083,1,6036,10835,0,10,2,14548,3146,10825,576,4866,3775,0,0,4,72,9,0,5,0,0,0,0,0,0,0
15,5,3,13,2,1,2,452,0,0,0,0,99643,88272,6720,4651,0,14925,14155,210,559,10986,1,6821,4151,2332,14,50,15840,4086,11753,0,9716,8310,0,0,43,79,13,0,6,2,0,0,0,0,0,1
16,5,8,2,2,1,1,969,0,0,0,0,120980,5288,108093,7597,0,14373,123,13044,1205,15970,1,21303,13453,507,30,27,40430,8913,28623,2893,9588,9250,0,0,46,100,15,0,14,3,0,0,0,0,0,0
17,5,9,2,2,1,2,327,0,0,0,0,102986,3978,79122,19885,319,13997,592,10430,2974,4142,1,7853,3519,0,21,11,19666,5103,14562,0,9305,8375,0,0,72,55,13,0,8,4,1,0,0,0,0,0
18,7,11,2,4,1,1,407,0,0,0,0,116317,6654,104835,4828,0,13702,2000,10551,1150,9302,1,13299,3063,0,28,9,27350,4669,21986,694,10171,9975,0,0,40,95,13,0,13,6,0,0,0,0,0,0
0,17,8,10,5,3,5,266,2,1,0,0,170802,12887,155353,2562,1251,34327,2702,29062,2562,4769,1,8052,3201,3201,18,17,19901,10003,8596,1301,15842,15025,1,1,203,10,16,0,8,2,0,0,0,0,1,0
1,2,2,0,2,2,1,752,1,0,0,0,85940,76698,9240,2,0,6823,6607,215,0,0,0,2966,796,739,12,21,3709,1309,2355,44,6875,4750,0,0,178,0,12,3,8,0,0,0,0,0,0,0
2,2,4,2,0,1,0,679,0,0,0,0,109811,95900,11430,2479,0,9155,9103,52,0,226,1,6181,4547,511,14,29,9519,3200,5633,685,8215,7635,1,0,195,12,14,0,7,0,0,0,0,0,0,0
3,9,6,11,6,1,1,1106,0,0,0,0,123635,31329,92045,260,31,21759,9283,12216,260,1570,1,36747,3411,2435,23,37,31100,12562,15252,3285,13843,13850,1,0,187,8,16,0,11,0,1,0,0,0,0,0
4,6,8,5,2,2,3,411,1,0,0,0,128574,117764,8348,2461,0,20928,20679,248,0,752,1,10423,2028,902,13,52,16527,5648,9622,1257,11253,10450,0,0,179,8,14,0,8,0,0,0,0,0,0,0
5,1,5,5,0,1,0,835,0,0,0,0,106414,93652,9874,2887,0,14289,13862,178,248,1094,1,9758,1393,57,20,13,13809,7456,5725,628,8421,7425,0,0,161,16,13,1,10,0,0,0,0,0,0,0
6,4,8,7,0,1,0,651,0,0,0,0,143868,134651,8986,230,0,20058,19581,425,52,0,0,7863,748,748,24,53,16928,9238,7007,681,10499,9775,0,0,190,17,15,1,11,2,0,0,0,0,0,0
7,11,6,9,4,1,3,357,0,0,0,0,123824,107755,14400,1669,0,40983,38685,629,1669,3080,1,10050,5815,2651,26,26,28090,16099,9890,2101,13598,12475,2,0,178,12,17,1,5,5,0,0,0,0,0,0
8,6,6,9,3,2,2,828,1,0,0,0,177291,157651,12300,7340,0,26376,25290,1055,30,655,1,8639,2663,2663,19,34,19148,6904,11440,804,13013,12775,0,0,230,4,17,1,8,1,0,0,0,0,0,0
9,11,4,11,5,2,3,422,1,0,0,0,171217,158908,8919,3389,0,32194,31637,508,48,239,1,8064,4926,4645,27,94,12724,3844,8400,479,14652,10925,3,0,218,10,17,1,11,3,0,0,0,0,0,1
10,6,6,4,2,1,3,493,0,0,0,0,150176,137802,10103,2270,0,19835,19660,174,0,1,1,9083,1212,486,21,55,18460,5325,12861,274,11616,11435,0,0,208,4,16,2,9,1,0,0,0,0,0,0
